origin,fy,h,line,forecast,actual,log_err,scaled_err,freeze_err,trend_err,crosses_B4,log_err_realized_macro
2019,2022,4,rec,7008.31023354932,3060.579,0.8284925073886551,,0.4098386876168682,1.7803659118996786,0,0.6093614091724819
2019,2023,5,rec,8223.306297526238,4042.327,0.7101518379198916,,0.13162228511496035,1.8447813154684731,1,1.1445568243556845
2019,2019,1,pay,3692.5245175229993,2752.183,0.29391596026472266,,-0.007028903037204302,0.13282340136569667,0,0.1869032539821836
2019,2020,2,pay,4303.785395970214,3144.092,0.3139698238599242,,-0.14015962430926512,0.13954498449653688,0,0.06101475263206997
2019,2021,3,pay,5104.906404592431,5418.617,-0.059638499457065855,,-0.6844751049234158,-0.26491819171471287,0,-0.46681358297672354
2019,2022,4,pay,6166.892655857276,5812.3820000000005,0.05920462000832651,,-0.7546249577160538,-0.1952157401044498,0,-0.2102581750145496
2019,2023,5,pay,7589.20178026041,7110.150000000001,0.06520307794692912,,-0.956157828722941,-0.2568963067084361,1,0.6522251356521167
2019,2019,1,capex,2838.7345905555067,1736.04,0.49175172872560446,,,,0,0.42310093821275113
2019,2020,2,capex,3179.177272897321,707.765,1.5022656053941248,,,,0,1.3275929768723682
2019,2021,3,capex,3615.7972694882515,467.981,2.0446399582835464,,,,0,1.757764542766639
2019,2022,4,capex,4177.350280116619,1160.574,1.2807624309383963,,,,0,1.0616313327222233
2019,2023,5,capex,4901.556826210702,2055.957,0.8688114413119006,,,,1,1.3032164277476934
2020,2020,1,sga,2748.877151877636,2613.1440000000002,0.05063842579971115,,-0.1793017183111526,0.02046579993444552,0,0.0012208492558468441
2020,2021,2,sga,3470.9805737402276,3426.239,0.012973982008532493,,-0.4502107823436822,-0.050675745852486034,0,-0.09125283155858688
2020,2022,3,sga,4397.491277671135,4213.186,0.04281508306840168,,-0.6569667553058557,-0.05766420056906137,0,-0.1861742889999819
2020,2023,4,sga,5590.0628319598145,3430.639,0.48824398596546553,,-0.4514941654238323,0.3475759075585601,1,0.4523930791959805
2020,2024,5,sga,7129.715645539482,4843.651,0.38660257701893824,,-0.796416399422061,0.2024211918059295,1,3.0106614858264646
2020,2020,1,pc_rev,9499.726297359946,7699.0,0.2101725370913272,,-0.013231718593431831,-0.031096147797470313,0,0.3109952366907045
2020,2021,2,pc_rev,11877.754050481995,12880.4,-0.08103953302260544,,-0.5278480443921235,-0.5635769028002003,0,0.07022376666309856
2020,2022,3,pc_rev,14851.063795695783,9231.1,0.4754932807449137,,-0.1947194863093633,-0.248312773921479,0,-0.944216726760248
2020,2020,1,fin_rev,6725.830353873145,6399.8,0.04968865068333367,,-0.17956277939136675,0.19478680685684055,0,0.04968865068333367
2020,2021,2,fin_rev,8458.795779480051,7949.8,0.06206004951828142,,-0.3964428106311196,0.3522563618652949,0,0.06206004951828142
2020,2022,3,fin_rev,10638.273978728283,9358.7,0.1281518587554125,,-0.5596024314686889,0.5634463272759329,0,0.1281518587554125
2020,2020,1,resid_rev,13181.430427439578,5497.163999999997,0.8745767304514963,,,,0,0.8745767304514963
2020,2021,2,resid_rev,19397.06568221139,5834.032999999999,1.2014132732091287,,,,0,1.2014132732091287
2020,2022,3,resid_rev,28543.651552171228,7769.278999999999,1.3012571816487382,,,,0,1.3012571816487382
2020,2020,1,pc_u,25935.95395471069,29650,-0.13383193579473032,,-0.09781922702465345,-0.16945890334700095,0,0.1772366842530337
2020,2021,2,pc_u,25018.54827763875,45584,-0.5999392968766253,,-0.5279138793364714,-0.6711932319811666,0,-0.03141840194545955
2020,2022,3,pc_u,24133.593042829067,31541,-0.2676835146938747,,-0.15964538838364417,-0.37456441735068696,0,-1.5822477579062695
2020,2020,1,m3w_u,81909.33740214776,112366,-0.3161484064420909,,-0.27912190888149657,-0.3161484064420909,0,-0.3161484064420909
2020,2021,2,m3w_u,78931.98218401255,137252,-0.5532321556384275,,-0.4791791605172389,-0.5532321556384278,0,-0.5532321556384275
2020,2022,3,m3w_u,76062.85203979576,59100,0.2523290746213938,,0.3634085673031769,0.25232907462139365,0,0.2523290746213938
2020,2023,4,m3w_u,73298.01305306268,13610,1.6837286848094775,,1.8318346750518546,1.6837286848094772,1,1.6837286848094775
2020,2024,5,m3w_u,70633.67430287816,20189,1.252369102284171,,1.4375015900871426,1.2523691022841708,1,1.252369102284171
2020,2020,1,cv_u,2328.038874372286,1152,0.7035266660695965,,0.5985312041850962,0.7035266660695965,0,0.7035266660695965
2020,2021,2,cv_u,2585.7657445556206,1576,0.49513169879210894,,0.28514077502310836,0.49513169879210894,0,0.49513169879210894
2020,2022,3,cv_u,2872.024414764162,2005,0.3593730913537642,,0.044386705700263256,0.3593730913537642,0,0.3593730913537642
2020,2023,4,cv_u,3189.9735141780934,943,1.2187016103454766,,0.7987197628074753,1.2187016103454766,1,1.2187016103454766
2020,2024,5,cv_u,3543.121349820885,2101,0.5225946540184342,,-0.0023826554040676526,0.522594654018434,1,0.5225946540184342
2020,2020,1,inv,5738.7387515230685,3367.987,0.5329242199724049,,0.117578375498018,-0.025584779225443607,0,0.5177991161572926
2020,2021,2,inv,7874.789574470592,4203.342,0.6277865404902825,,-0.10398631114909594,-0.39031262059601907,0,0.587852208980543
2020,2022,3,inv,10857.006775576936,3920.044,1.0187077790948558,,-0.03420926621600602,-0.4636987303863907,0,0.7812959204665267
2020,2023,4,inv,15039.111287288715,6366.072,0.8596715879541362,,-0.5190890268676013,-1.0917416457614475,1,0.9660712526718602
2020,2024,5,inv,20929.085836195023,21134.299,-0.009757407433837613,,-1.7190036537242734,-2.4348194273415813,1,3.5539632115528925
2020,2020,1,rec,6811.6771321983315,7106.385,-0.0423553109380165,,-0.0991599421210379,0.23469433019001276,0,-0.03855439209760407
2020,2021,2,rec,9185.641810439729,10239.476,-0.10860885426868785,,-0.46441671285033553,0.20329183177176605,0,-0.11219338335653728
2020,2022,3,rec,12464.864540535551,3060.579,1.4043097359796644,,0.7432296198251674,1.7447924367583196,0,1.1886295445427808
2020,2023,4,rec,17021.028836601494,4042.327,1.4376290537488272,,0.46501321732325945,1.8004303065674623,1,1.46730793319663
2020,2024,5,rec,23386.669361939716,7581.323,1.126478451961263,,-0.16385398910612464,1.5054173724491293,1,4.398968217119955
2020,2020,1,pay,3410.8422295843434,3144.092,0.08143411272142796,,-0.13313072127206085,-0.13981747620004023,0,0.06630900890631584
2020,2021,2,pay,4680.4125423145,5418.617,-0.1464543607277311,,-0.6774462018862115,-0.6908197117421703,0,-0.18638869223747076
2020,2022,3,pay,6452.905211479255,5812.3820000000005,0.10453998015111395,,-0.7475960546788496,-0.7676563194627877,0,-0.13287187847721466
2020,2023,4,pay,8938.555681854115,7110.150000000001,0.22885067865510292,,-0.9491289256857368,-0.9758759453976543,1,0.3352503433728268
2020,2024,5,pay,12439.285509859403,19121.835,-0.429971225058683,,-1.9384364608682207,-1.9718702355081177,1,3.133749393928047
2020,2020,1,capex,3139.5911857558267,707.765,1.489735757115121,,,,0,1.493536675955533
2020,2021,2,capex,4233.78259184453,467.981,2.202423405402661,,,,0,2.1988388763148117
2020,2022,3,capex,5745.219287937077,1160.574,1.5994533704786067,,,,0,1.383773179041723
2020,2023,4,capex,7845.215072700226,2055.957,1.3391623680900373,,,,1,1.36884124753784
2020,2024,5,capex,10779.222145726608,,,,,,1,
2021,2021,1,sga,3016.488196281286,3426.239,-0.12736985228269077,,-0.27090906403252973,-0.033737090305688715,0,-0.1429109920272702
2021,2022,2,sga,3492.0278822187847,4213.186,-0.18773650854054938,,-0.47766503699470303,-0.0033210895410213477,0,-0.2964043640734303
2021,2023,3,sga,4053.1764909028243,3430.639,0.16675435123993265,,-0.2721924471126797,0.43932347406784317,1,0.28682948269060454
2021,2024,4,sga,4715.894180509356,4843.651,-0.02673023117679298,,-0.6171146811109085,0.3315732137964555,1,2.397737843343045
2021,2025,5,sga,5499.17868289657,6547.296,-0.17445338927912504,,-0.9184980458941558,0.2673618227400488,1,1.651582490224635
2021,2021,1,pc_rev,10036.288944787686,12880.4,-0.24949935717310215,,-0.5146163257986915,-0.47520645182606464,0,-0.21558042027108032
2021,2022,2,pc_rev,13083.140119920447,9231.1,0.34874616953524734,,-0.1814877677159316,-0.10266801977067753,0,-0.6811525946831878
2021,2021,1,fin_rev,7916.548270464204,7949.8,-0.004191484726163698,,-0.21688003123975286,-0.004191484726163698,0,-0.004191484726163698
2021,2022,2,fin_rev,9792.764854931367,9358.7,0.04533744094985596,,-0.38003965207732215,0.04533744094985596,0,0.04533744094985596
