Date,Close
2024-04-03,4240.05
2024-04-04,4246.67
2024-04-15,4243.78
2024-04-16,4184.31
2024-04-17,4172.93
2024-04-18,4208.17
2024-04-22,4167.66
2024-04-23,4166.32
2024-04-24,4167.33
2024-04-25,4169.87
2024-04-29,4160.66
2024-04-30,4155.77
2024-05-01,4133.31
2024-05-02,4140.82
2024-05-06,4155.85
2024-05-07,4156.29
2024-05-08,4193.35
2024-05-09,4179.74
2024-05-13,4173.28
2024-05-14,4136.85
2024-05-15,4093.25
2024-05-16,4085.78
2024-05-20,4067.20
2024-05-21,4075.18
2024-05-22,4057.87
2024-05-23,4023.64
2024-05-27,4027.46
2024-05-28,3986.89
2024-05-29,3959.80
2024-05-30,3971.01
2024-06-03,3993.03
2024-06-04,3985.97
2024-06-05,3980.32
2024-06-06,3978.75
2024-06-10,3973.52
2024-06-11,4008.93
2024-06-12,3979.18
2024-06-13,3980.11
2024-06-19,3988.22
2024-06-20,3986.63
2024-06-24,4000.25
2024-06-25,3998.82
2024-06-26,4006.07
2024-06-27,4008.96
2024-07-01,4057.04
2024-07-02,4063.25
2024-07-03,4079.21
2024-07-04,4065.82
2024-07-08,4081.96
2024-07-09,4078.29
2024-07-10,4080.22
2024-07-11,4090.98
2024-07-15,4114.55
2024-07-16,4109.66
2024-07-17,4131.96
2024-07-18,4169.17
2024-07-22,4179.00
2024-07-23,4216.15
2024-07-24,4228.65
2024-07-25,4237.65
2024-07-29,4308.49
2024-07-30,4284.01
2024-07-31,4268.05
2024-08-01,4279.89
2024-08-05,4045.90
2024-08-06,4137.32
2024-08-07,4197.67
2024-08-08,4195.94
2024-08-12,4201.27
2024-08-13,4184.50
2024-08-14,4213.42
2024-08-15,4218.68
2024-08-19,4237.52
2024-08-20,4254.87
2024-08-21,4294.90
2024-08-22,4309.08
2024-08-26,4324.75
2024-08-27,4343.22
2024-08-28,4324.20
2024-08-29,4334.26
2024-09-02,4356.77
2024-09-03,4369.83
2024-09-04,4364.76
2024-09-05,4371.04
2024-09-09,4359.12
2024-09-10,4387.48
2024-09-11,4346.42
2024-09-12,4364.87
2024-09-16,4395.24
2024-09-17,4395.20
2024-09-18,4390.20
2024-09-19,4421.52
2024-09-23,4434.06
2024-09-24,4461.46
2024-09-25,4488.69
2024-09-26,4526.61
2024-09-30,4503.48
2024-10-01,4477.27
2024-10-02,4440.27
2024-10-03,4398.24
2024-10-07,4395.05
2024-10-08,4429.00
2024-10-09,4422.33
2024-10-10,4437.56
2024-10-14,4455.02
2024-10-15,4469.57
2024-10-16,4485.30
2024-10-17,4458.67
2024-10-21,4477.96
2024-10-22,4467.35
2024-10-23,4464.19
2024-10-24,4464.00
2024-10-28,4536.92
2024-10-29,4583.36
2024-10-30,4604.52
2024-10-31,4591.05
2024-11-04,4585.21
2024-11-05,4594.53
2024-11-06,4616.28
2024-11-07,4644.17
2024-11-11,4652.43
2024-11-12,4701.40
2024-11-13,4732.81
2024-11-14,4729.23
2024-11-18,4712.66
2024-11-19,4731.72
2024-11-20,4760.67
2024-11-21,4729.58
2024-11-25,4768.32
2024-11-26,4828.83
2024-11-27,4805.07
2024-11-28,4823.38
2024-12-04,4853.64
2024-12-05,4820.37
2024-12-09,4848.11
2024-12-10,4794.11
2024-12-11,4795.32
2024-12-12,4811.61
2024-12-16,5047.54
2024-12-17,5079.85
2024-12-18,5037.07
2024-12-19,5046.55
2024-12-23,5056.33
2024-12-24,5080.36
2024-12-25,5083.68
2024-12-26,5111.98
2024-12-30,5153.24
2024-12-31,5158.67
2025-01-02,5153.33
2025-01-03,5126.74
2025-01-06,5190.70
2025-01-07,5213.93
2025-01-08,5209.33
2025-01-09,5229.34
2025-01-10,5228.32
2025-01-13,5232.50
2025-01-14,5245.55
2025-01-15,5250.86
2025-01-16,5235.83
2025-01-17,5211.73
2025-01-20,5196.18
2025-01-21,5220.26
2025-01-22,5230.83
2025-01-23,5248.56
2025-01-24,5225.54
2025-01-27,5191.65
2025-01-28,5176.73
2025-01-29,5129.35
2025-01-30,5154.97
2025-01-31,5180.37
2025-02-03,5182.76
2025-02-04,5219.08
2025-02-05,5218.93
2025-02-06,5244.83
2025-02-07,5238.39
2025-02-10,5261.31
2025-02-11,5335.76
2025-02-12,5304.17
2025-02-13,5319.20
2025-02-14,5361.96
2025-02-17,5382.85
2025-02-18,5374.50
2025-02-19,5388.64
2025-02-20,5380.21
2025-02-21,5359.25
2025-02-24,5334.87
2025-02-25,5342.43
2025-02-26,5351.98
2025-02-27,5361.10
2025-02-28,5317.63
2025-03-03,5327.60
2025-03-04,5354.65
2025-03-05,5313.16
